City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
318,ubiaja,6.655,6.3869,299.41,36,0,0.2,NG,1704057414
319,kununurra,-15.7667,128.7333,299.14,89,100,2.06,AU,1704057414
320,timimoun,29.2639,0.231,286.36,33,0,2.57,DZ,1704057414
321,south gate,33.9547,-118.212,289.81,81,75,4.12,US,1704057216
322,dryden,49.7833,-92.7503,262.31,85,0,0.0,CA,1704057414
323,taltal,-25.4,-70.4833,294.01,70,28,3.52,CL,1704057415
324,palikir - national government center,6.9248,158.1611,301.56,79,40,3.6,FM,1704057415
325,papao,-17.75,-149.55,303.97,80,98,5.48,PF,1704057415
326,happy valley-goose bay,53.3168,-60.3315,265.32,62,75,6.69,CA,1704057366
327,saint-philippe,-21.3585,55.7679,299.92,86,100,4.85,RE,1704057415
328,galax,36.6612,-80.924,282.26,51,40,1.79,US,1704057415
329,klyuchi,52.2667,79.1667,264.41,93,72,3.6,RU,1704057415
330,port augusta,-32.5,137.7667,294.34,35,74,2.72,AU,1704057416
331,colonia,50.9333,6.95,282.62,73,75,7.2,DE,1704057276
332,gobabis,-22.45,18.9667,297.92,13,13,4.19,NA,1704057416
333,tocopilla,-22.092,-70.1979,295.18,69,36,4.04,CL,1704057416
334,st. john's,47.5649,-52.7093,275.25,93,100,8.23,CA,1704057416
335,las lomitas,-24.7096,-60.593,307.99,34,78,2.9,AR,1704057416
336,bouca,6.5105,18.2733,297.19,26,2,1.44,CF,1704057416
337,nuuk,64.1835,-51.7216,270.49,59,100,2.57,GL,1704057060
338,nantucket,41.2835,-70.0995,276.53,65,100,4.63,US,1704057417
339,port douglas,-16.4833,145.4667,300.5,80,100,1.05,AU,1704057417
340,tupiza,-21.45,-65.7167,297.44,31,79,4.09,BO,1704057417
341,asha,54.9973,57.2722,273.81,98,100,3.13,RU,1704057417
342,payakumbuh,-0.2202,100.6308,295.2,99,100,0.55,ID,1704057418
343,al bayda',32.7627,21.7551,283.7,89,100,2.14,LY,1704057418
344,lompoc,34.6391,-120.4579,288.58,62,20,2.57,US,1704057277
345,phek,25.6667,94.5,277.26,98,35,0.79,IN,1704057418
346,sinjar,36.3209,41.8754,281.92,55,93,1.34,IQ,1704057418
347,jayapura,-2.5333,140.7,298.81,91,51,2.34,ID,1704057418
348,alcantara,-2.4089,-44.4147,299.26,81,99,2.95,BR,1704057418
349,shepetivka,50.1855,27.0637,276.1,91,77,2.64,UA,1704057419
350,gornozavodsk,58.3758,58.3211,258.9,94,100,6.99,RU,1704057419
351,polyarnyy,69.1989,33.4478,259.86,98,98,2.72,RU,1704057419
352,ad dilam,23.9915,47.1627,291.38,64,5,4.05,SA,1704057419
353,bikenibeu village,1.3673,173.1241,303.13,74,75,4.12,KI,1704057419
354,popondetta,-8.7537,148.2534,298.51,84,83,0.75,PG,1704057419
355,rameswaram,9.2833,79.3,300.54,69,93,8.61,IN,1704057420
356,pijijiapan,15.7011,-93.23,305.36,40,0,3.97,MX,1704057420
357,east london,-33.0153,27.9116,293.77,86,100,6.09,ZA,1704057137
358,puerto eldorado,-26.4084,-54.6946,305.28,43,100,1.03,AR,1704057420
359,balqash,46.8481,74.995,265.54,91,41,1.59,KZ,1704057420
360,kruisfontein,-34.0033,24.7314,291.42,93,100,6.27,ZA,1704057420
361,kapit,2.0167,112.9333,296.67,100,100,0.38,MY,1704057421
362,tucumcari,35.1717,-103.725,283.12,49,0,2.57,US,1704057421
363,lebu,-37.6167,-73.65,290.05,71,6,3.41,CL,1704057421
